Uuid,Privilege name,Description
,ethiopiaemr: Consultation: View Consultations,View consultation lists and conversation threads
,ethiopiaemr: Consultation: Request Consultation,Create a new inter-department consultation request
,ethiopiaemr: Consultation: Respond Consultation,Respond to a pending consultation request
