Uuid,Privilege name,Description,_order
00cdeac0-c114-4bec-aff8-aba8b67398c4,o3: View Patient Chart Referrals Dashboard,View the referrals dashboard in the patient chart,
ce03c7d6-c137-433a-b53a-1b68ed147a04,o3: View Referrals Dashboard,View the referrals dashboard,
d588e2fd-1e80-4a82-a7cd-e928d6168afb,o3: View SHR Portal Dashboard,View the SHR portal dashboard,
9f3b1c40-6a2e-4d51-bf0c-4a1e77c9d3b2,Manage SHR Outbox,"View the SHR outbox, send pending records to OpenFn on demand, and retry failed or dead-lettered records",
