Uuid,Privilege name,Description,_order
1d2a2255-dc36-4f6e-b382-c1256bb3ad21,o3: View Laboratory Dashboard,View the laboratory dashboard,
00e2c155-5368-11f1-b15f-729618c35d46,o3: Add Lab Request Results,Add Lab Request Results,
0cead2c3-5368-11f1-b15f-729618c35d46,o3: Reject Lab Request,Reject Lab Request,
