Uuid,Void/Retire,Name,Description
a0b03050-c99b-11e0-9572-0800200c9a66,,Unknown,Unknown encounter role for legacy providers with no encounter role set
240b26f9-dd88-4172-823d-4a8bfeb7841f,,Clinician,"Doctor or Nurse who is the primary provider for an encounter, and will sign the note"
8f4e2c91-b5d6-4a7e-9f0b-2c3d4e5f6a7b,,Consulting Physician,Provider who requested the inter-department consultation
7e3d1b80-a4c5-4b6d-8e9f-1a2c3d4e5f6a,,Consulted Physician,Provider who responded to the inter-department consultation
