Uuid,Void/Retire,Name,Description,Retired,attributes
2a1b6a1d-3f35-4f0a-8b39-5e4f9efc1a01,,Payer: cash/digital payment,Payer: cash/digital payment,false,
2c3d1c4c-12f4-43c4-9d6f-9fb4d0480a7e,,CBHI,Community Based Health Insurance payment method,false,
3d9a4c1b-1c2e-4d45-9d06-8c26d1b8d3a2,,SHI,Social Health Insurance payment method,false,
4d0d1d2e-8d9f-4d2a-8a1d-8a1fbdcbf0c9,,Agreement,Agreement payment method,false,
5e6f7a8b-9c0d-4e1f-8a2b-3c4d5e6f7a8b,,Third Party,Third party payment method,false,
6f1a2b3c-4d5e-4f60-8a7b-9c0d1e2f3a4b,,Exempted,Exempted payment method,false,
7a8b9c0d-1e2f-4a3b-8c4d-5e6f7a8b9c0d,,24 HRs,24 hours payment method,false,
eb6173cb-9678-4614-bbe1-0ccf7ed9d1d4,,Waiver,Waiver payment method,false,"Reason for waiver::java.lang.String::::false"
