Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Tags
58f59ea7-2229-4bd6-900c-e9eb6e6390cc,1094817,1St Tedecha Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Dugda Dawa,,,Login Location
82529663-f32d-45c0-9ec0-49891349951e,1001595,22 Mazoria Internal Medicine Speciality Clinic,Operational,Internal Medicine clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 4,,,Login Location
3002632f-3e02-4a3b-9d6d-b8e84d662ed9,1002249,3B Doctor Bereket Bogale Dental Specialty Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Addis Ababa City Administration,Kirkos Sub City,Woreda 8,,,Login Location
a6620e2a-beee-44ae-af08-c99237a310fd,1057871,3F Primary Clinic,Operational,Institution Based Primary Clinic,Clinic,Oromia Region,Sheger City,Furi Sub -City,,,Login Location
81e560ab-650c-45b8-af6c-885dd96b2c66,1057562,3S Pediatrics Specialty Clinic,Operational,Pediatric clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 1,,,
