concept,member,member type,sort weight
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin B12 deficiency (Super-Category),concept-set,28
Vitamin B12 deficiency (Super-Category),Vitamin B12 deficiency,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Mineral deficiencies (Super-Category),concept-set,29
Mineral deficiencies (Super-Category),Iodine deficiency,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Other specified undernutrition (Super-Category),concept-set,30
Other specified undernutrition (Super-Category),Other specified undernutrition,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Unspecified undernutrition (Super-Category),concept-set,31
Unspecified undernutrition (Super-Category),Unspecified undernutrition,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Overweight or localised adiposity (Super-Category),concept-set,32
Overweight or localised adiposity (Super-Category),Overweight,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Obesity (Super-Category),concept-set,33
Obesity (Super-Category),Obesity,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin excesses (Super-Category),concept-set,34
Vitamin excesses (Super-Category),Vitamin excesses,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Mineral excesses (Super-Category),concept-set,35
Mineral excesses (Super-Category),Mineral excesses,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Volume depletion (Super-Category),concept-set,36
Volume depletion (Super-Category),Dehydration,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Volume depletion (Super-Category),concept-set,37
Volume depletion (Super-Category),Hypovolaemia,concept-set,2
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Schizophrenia (Super-Category),concept-set,1
Schizophrenia (Super-Category),Schizophrenia,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Delusional disorder (Super-Category),concept-set,2
Delusional disorder (Super-Category),Delusional disorder,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Depressive disorders, unspecified (Super-Category)",concept-set,3
"Depressive disorders, unspecified (Super-Category)","Depressive disorders, unspecified",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Generalised anxiety disorder (Super-Category),concept-set,4
Generalised anxiety disorder (Super-Category),Generalised anxiety disorder,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Specific phobia (Super-Category),concept-set,5
Specific phobia (Super-Category),Specific phobia,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Post traumatic stress disorder (Super-Category),concept-set,6
Post traumatic stress disorder (Super-Category),Post traumatic stress disorder,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Disorders specifically associated with stress, unspecified (Super-Category)",concept-set,7
"Disorders specifically associated with stress, unspecified (Super-Category)","Disorders specifically associated with stress, unspecified",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Anorexia Nervosa (Super-Category),concept-set,8
Anorexia Nervosa (Super-Category),Anorexia Nervosa,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Feeding or eating disorders, unspecified (Super-Category)",concept-set,9
"Feeding or eating disorders, unspecified (Super-Category)","Feeding or eating disorders, unspecified",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Disorders due to use of alcohol (Super-Category),concept-set,10
Disorders due to use of alcohol (Super-Category),Disorders due to use of alcohol,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone (Super-Category)",concept-set,11
"Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone (Super-Category)","Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Disorders due to substance use, unspecified (Super-Category)",concept-set,12
"Disorders due to substance use, unspecified (Super-Category)","Disorders due to substance use, unspecified",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Conduct-dissocial disorder (Super-Category),concept-set,13
Conduct-dissocial disorder (Super-Category),Conduct-dissocial disorder,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Personality disorder (Super-Category),concept-set,14
Personality disorder (Super-Category),Personality disorder,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Delirium (Super-Category),concept-set,15
Delirium (Super-Category),Delirium,concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms (Super-Category)",concept-set,16
"Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms (Super-Category)","Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, without psychotic symptoms",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms (Super-Category)",concept-set,17
"Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms (Super-Category)","Mental or behavioural Disorders associated with pregnancy, childbirth or the puerperium, with psychotic symptoms",concept-set,1
"Chapter 6: Mental, behavioural or neurodevelopmental disorders","Mental, behavioural or neurodevelopmental disorders, unspecified (Super-Category)",concept-set,18
"Mental, behavioural or neurodevelopmental disorders, unspecified (Super-Category)","Mental, behavioural or neurodevelopmental disorders, unspecified",concept-set,1
Chapter 7: Sleep-wake disorders,Chronic insomnia (Super-Category),concept-set,1
Chronic insomnia (Super-Category),Chronic insomnia,concept-set,1
Chapter 7: Sleep-wake disorders,"Insomnia disorders, unspecified (Super-Category)",concept-set,2
"Insomnia disorders, unspecified (Super-Category)","Insomnia disorders, unspecified",concept-set,1
Chapter 7: Sleep-wake disorders,Narcolepsy (Super-Category),concept-set,3
Narcolepsy (Super-Category),Narcolepsy,concept-set,1
Chapter 8: Diseases of the nervous system,Parkinsonism (Super-Category),concept-set,1
Parkinsonism (Super-Category),Parkinson disease,concept-set,1
Chapter 8: Diseases of the nervous system,Alzheimer disease (Super-Category),concept-set,2
Alzheimer disease (Super-Category),Alzheimer disease,concept-set,1
Chapter 8: Diseases of the nervous system,Other specified disorders with neurocognitive impairment as a major feature (Super-Category),concept-set,3
Other specified disorders with neurocognitive impairment as a major feature (Super-Category),Other specified disorders with neurocognitive impairment as a major feature,concept-set,1
Chapter 8: Diseases of the nervous system,Multiple sclerosis (Super-Category),concept-set,4
Multiple sclerosis (Super-Category),Multiple sclerosis,concept-set,1
Chapter 8: Diseases of the nervous system,Seizure due to acute causes (Super-Category),concept-set,5
Seizure due to acute causes (Super-Category),Febrile seizures,concept-set,1
Chapter 8: Diseases of the nervous system,Status epilepticus (Super-Category),concept-set,6
Status epilepticus (Super-Category),Status epilepticus,concept-set,1
Chapter 8: Diseases of the nervous system,Migraine (Super-Category),concept-set,7
Migraine (Super-Category),Migraine,concept-set,1
Chapter 8: Diseases of the nervous system,Tension-type headache (Super-Category),concept-set,8
Tension-type headache (Super-Category),Tension-type headache,concept-set,1
Chapter 8: Diseases of the nervous system,Stroke not known if ischaemic or haemorrhagic (Super-Category),concept-set,9
Stroke not known if ischaemic or haemorrhagic (Super-Category),Stroke not known if ischaemic or haemorrhagic,concept-set,1
Chapter 8: Diseases of the nervous system,Myelopathy (Super-Category),concept-set,10
Myelopathy (Super-Category),Myelopathy,concept-set,1
Chapter 8: Diseases of the nervous system,Motor neuron disease (Super-Category),concept-set,11
Motor neuron disease (Super-Category),Motor neuron disease,concept-set,1
Chapter 8: Diseases of the nervous system,Disorders of facial nerve (Super-Category),concept-set,12
Disorders of facial nerve (Super-Category),Bell palsy,concept-set,1
Chapter 8: Diseases of the nervous system,Mononeuropathies of upper limb (Super-Category),concept-set,13
Mononeuropathies of upper limb (Super-Category),Carpal tunnel syndrome,concept-set,1
Chapter 8: Diseases of the nervous system,"Other specified disorders of nerve root, plexus or peripheral nerves (Super-Category)",concept-set,14
"Other specified disorders of nerve root, plexus or peripheral nerves (Super-Category)","Other specified disorders of nerve root, plexus or peripheral nerves",concept-set,1
Chapter 8: Diseases of the nervous system,Spastic cerebral palsy (Super-Category),concept-set,15
Spastic cerebral palsy (Super-Category),Spastic cerebral palsy,concept-set,1
Chapter 8: Diseases of the nervous system,Hydrocephalus (Super-Category),concept-set,16
Hydrocephalus (Super-Category),"Hydrocephalus, unspecified",concept-set,1
Chapter 8: Diseases of the nervous system,Other specified diseases of the nervous system (Super-Category),concept-set,17
Other specified diseases of the nervous system (Super-Category),Other specified diseases of the nervous system,concept-set,1
Chapter 8: Diseases of the nervous system,"Diseases of the nervous system, unspecified (Super-Category)",concept-set,18
"Diseases of the nervous system, unspecified (Super-Category)","Diseases of the nervous system, unspecified",concept-set,1
Chapter 9: Diseases of the visual system,Infectious disorders of eyelid (Super-Category),concept-set,1
Infectious disorders of eyelid (Super-Category),Infectious blepharitis,concept-set,1
Chapter 9: Diseases of the visual system,Inflammatory disorders of eyelid (Super-Category),concept-set,2
Inflammatory disorders of eyelid (Super-Category),Chalazion,concept-set,1
Chapter 9: Diseases of the visual system,Acquired malposition of eyelid (Super-Category),concept-set,3
Acquired malposition of eyelid (Super-Category),Lagophthalmos,concept-set,1
Chapter 9: Diseases of the visual system,Disorders of lacrimal drainage system (Super-Category),concept-set,4
Disorders of lacrimal drainage system (Super-Category),Nasolacrimal duct obstruction,concept-set,1
Chapter 9: Diseases of the visual system,Orbital infection (Super-Category),concept-set,5
Orbital infection (Super-Category),Orbital cellulitis,concept-set,1
Chapter 9: Diseases of the visual system,Other specified disorders of the ocular adnexa or orbit (Super-Category),concept-set,6
Other specified disorders of the ocular adnexa or orbit (Super-Category),Other specified disorders of the ocular adnexa or orbit,concept-set,1
Chapter 9: Diseases of the visual system,Conjunctivitis (Super-Category),concept-set,7
Conjunctivitis (Super-Category),Conjunctivitis,concept-set,1
Chapter 9: Diseases of the visual system,Conjunctivitis (Super-Category),concept-set,8
Conjunctivitis (Super-Category),Allergic conjunctivitis,concept-set,2
Chapter 9: Diseases of the visual system,Certain specified disorders of conjunctiva (Super-Category),concept-set,9
Certain specified disorders of conjunctiva (Super-Category),Pterygium,concept-set,1
Chapter 9: Diseases of the visual system,Corneal ulcer (Super-Category),concept-set,10
Corneal ulcer (Super-Category),Corneal ulcer,concept-set,1
Chapter 9: Diseases of the visual system,Corneal scars or opacities (Super-Category),concept-set,11
Corneal scars or opacities (Super-Category),Corneal scars or opacities,concept-set,1
Chapter 9: Diseases of the visual system,Hyphaema (Super-Category),concept-set,12
Hyphaema (Super-Category),Hyphaema,concept-set,1
Chapter 9: Diseases of the visual system,Cataract (Super-Category),concept-set,13
Cataract (Super-Category),Cataract,concept-set,1
Chapter 9: Diseases of the visual system,Cataract (Super-Category),concept-set,14
Cataract (Super-Category),Traumatic cataract,concept-set,2
Chapter 9: Diseases of the visual system,Retinopathy (Super-Category),concept-set,15
Retinopathy (Super-Category),Hypertensive retinopathy,concept-set,1
Chapter 9: Diseases of the visual system,Glaucoma suspect (Super-Category),concept-set,16
Glaucoma suspect (Super-Category),Glaucoma suspect,concept-set,1
Chapter 9: Diseases of the visual system,Glaucoma (Super-Category),concept-set,17
Glaucoma (Super-Category),Glaucoma,concept-set,1
Chapter 9: Diseases of the visual system,Nystagmus (Super-Category),concept-set,18
Nystagmus (Super-Category),Nystagmus,concept-set,1
Chapter 9: Diseases of the visual system,Disorders of refraction (Super-Category),concept-set,19
Disorders of refraction (Super-Category),Disorders of refraction,concept-set,1
Chapter 9: Diseases of the visual system,Disorders of refraction (Super-Category),concept-set,20
Disorders of refraction (Super-Category),Myopia,concept-set,2
Chapter 9: Diseases of the visual system,Disorders of refraction (Super-Category),concept-set,21
Disorders of refraction (Super-Category),Astigmatism,concept-set,3
Chapter 9: Diseases of the visual system,Disorders of refraction (Super-Category),concept-set,22
Disorders of refraction (Super-Category),Presbyopia,concept-set,4
Chapter 9: Diseases of the visual system,Vision impairment including blindness (Super-Category),concept-set,23
Vision impairment including blindness (Super-Category),"Blindness, monocular",concept-set,1
Chapter 9: Diseases of the visual system,Near vision deficits (Super-Category),concept-set,24
Near vision deficits (Super-Category),Near vision deficits,concept-set,1
Chapter 9: Diseases of the visual system,Other specified diseases of the visual system (Super-Category),concept-set,25
Other specified diseases of the visual system (Super-Category),Other specified diseases of the visual system,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Impacted cerumen (Super-Category),concept-set,1
Impacted cerumen (Super-Category),Impacted cerumen,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Acute suppurative otitis media (Super-Category),concept-set,2
Acute suppurative otitis media (Super-Category),Acute suppurative otitis media,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Chronic suppurative otitis media (Super-Category),concept-set,3
Chronic suppurative otitis media (Super-Category),Chronic suppurative otitis media,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Acute otitis media (Super-Category),concept-set,4
Acute otitis media (Super-Category),Acute otitis media,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Chronic otitis media (Super-Category),concept-set,5
Chronic otitis media (Super-Category),Chronic otitis media,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,"Otitis media, unspecified (Super-Category)",concept-set,6
"Otitis media, unspecified (Super-Category)","Otitis media, unspecified",concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Mastoiditis or related conditions (Super-Category),concept-set,7
Mastoiditis or related conditions (Super-Category),Acute mastoiditis,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Mastoiditis or related conditions (Super-Category),concept-set,8
Mastoiditis or related conditions (Super-Category),Chronic mastoiditis,concept-set,2
Chapter 10: Diseases of the ear or mastoid process,Perforation of tympanic membrane (Super-Category),concept-set,9
Perforation of tympanic membrane (Super-Category),Perforation of tympanic membrane,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Other specified diseases of middle ear or mastoid (Super-Category),concept-set,10
Other specified diseases of middle ear or mastoid (Super-Category),Other specified diseases of middle ear or mastoid,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Acute vestibular syndrome (Super-Category),concept-set,11
Acute vestibular syndrome (Super-Category),Vestibular neuritis,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Other specified diseases of inner ear (Super-Category),concept-set,12
Other specified diseases of inner ear (Super-Category),Other specified diseases of inner ear,concept-set,1
Chapter 10: Diseases of the ear or mastoid process,Otalgia or effusion of ear (Super-Category),concept-set,13
Otalgia or effusion of ear (Super-Category),Otalgia,concept-set,1
Chapter 11: Diseases of the circulatory system,Essential hypertension (Super-Category),concept-set,1
Essential hypertension (Super-Category),Essential hypertension,concept-set,1
Chapter 11: Diseases of the circulatory system,Orthostatic hypotension (Super-Category),concept-set,2
Orthostatic hypotension (Super-Category),Orthostatic hypotension,concept-set,1
Chapter 11: Diseases of the circulatory system,Angina pectoris (Super-Category),concept-set,3
Angina pectoris (Super-Category),Angina pectoris,concept-set,1
Chapter 11: Diseases of the circulatory system,"Acute ischaemic heart disease, unspecified (Super-Category)",concept-set,4
"Acute ischaemic heart disease, unspecified (Super-Category)","Acute ischaemic heart disease, unspecified",concept-set,1
Chapter 11: Diseases of the circulatory system,"Heart failure, unspecified (Super-Category)",concept-set,5
"Heart failure, unspecified (Super-Category)","Heart failure, unspecified",concept-set,1
Chapter 11: Diseases of the circulatory system,Diabetic foot ulcer (Super-Category),concept-set,6
Diabetic foot ulcer (Super-Category),Diabetic foot ulcer,concept-set,1
Chapter 11: Diseases of the circulatory system,Deep vein thrombosis (Super-Category),concept-set,7
Deep vein thrombosis (Super-Category),Deep vein thrombosis,concept-set,1
Chapter 11: Diseases of the circulatory system,Chronic peripheral venous insufficiency of lower extremities (Super-Category),concept-set,8
Chronic peripheral venous insufficiency of lower extremities (Super-Category),Lower limb varicose veins,concept-set,1
Chapter 11: Diseases of the circulatory system,Lymphadenitis (Super-Category),concept-set,9
Lymphadenitis (Super-Category),Lymphadenitis,concept-set,1
Chapter 11: Diseases of the circulatory system,Lymphoedema (Super-Category),concept-set,10
Lymphoedema (Super-Category),Lymphoedema,concept-set,1
Chapter 12: Diseases of the respiratory system,Acute nasopharyngitis (Super-Category),concept-set,1
Acute nasopharyngitis (Super-Category),Acute nasopharyngitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Acute sinusitis (Super-Category),concept-set,2
Acute sinusitis (Super-Category),Acute sinusitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Acute pharyngitis (Super-Category),concept-set,3
Acute pharyngitis (Super-Category),"Acute pharyngitis, unspecified",concept-set,1
Chapter 12: Diseases of the respiratory system,Acute tonsillitis (Super-Category),concept-set,4
Acute tonsillitis (Super-Category),"Acute tonsillitis, unspecified",concept-set,1
Chapter 12: Diseases of the respiratory system,Acute laryngopharyngitis (Super-Category),concept-set,5
Acute laryngopharyngitis (Super-Category),Acute laryngopharyngitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Acute obstructive laryngitis or epiglottitis (Super-Category),concept-set,6
Acute obstructive laryngitis or epiglottitis (Super-Category),Acute obstructive laryngitis or epiglottitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Vasomotor or allergic rhinitis (Super-Category),concept-set,7
Vasomotor or allergic rhinitis (Super-Category),Allergic rhinitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Deviated nasal septum (Super-Category),concept-set,8
Deviated nasal septum (Super-Category),Deviated nasal septum,concept-set,1
Chapter 12: Diseases of the respiratory system,Nasal polyp (Super-Category),concept-set,9
Nasal polyp (Super-Category),Nasal polyp,concept-set,1
Chapter 12: Diseases of the respiratory system,Other specified upper respiratory tract disorders (Super-Category),concept-set,10
Other specified upper respiratory tract disorders (Super-Category),Other specified upper respiratory tract disorders,concept-set,1
Chapter 12: Diseases of the respiratory system,Chronic obstructive pulmonary disease (Super-Category),concept-set,11
Chronic obstructive pulmonary disease (Super-Category),Chronic obstructive pulmonary disease,concept-set,1
Chapter 12: Diseases of the respiratory system,Asthma (Super-Category),concept-set,12
Asthma (Super-Category),Asthma,concept-set,1
Chapter 12: Diseases of the respiratory system,Asthma (Super-Category),concept-set,13
Asthma (Super-Category),Other specified forms of asthma or bronchospasm,concept-set,2
Chapter 12: Diseases of the respiratory system,Chronic bronchiolitis (Super-Category),concept-set,14
Chronic bronchiolitis (Super-Category),Chronic bronchiolitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Tracheobronchitis (Super-Category),concept-set,15
Tracheobronchitis (Super-Category),Tracheobronchitis,concept-set,1
Chapter 12: Diseases of the respiratory system,Pneumonia (Super-Category),concept-set,16
Pneumonia (Super-Category),Pneumonia,concept-set,1
Chapter 12: Diseases of the respiratory system,Acute bronchitis (Super-Category),concept-set,17
Acute bronchitis (Super-Category),Acute bronchitis,concept-set,1
Chapter 12: Diseases of the respiratory system,"Pneumonitis, unspecified (Super-Category)",concept-set,18
"Pneumonitis, unspecified (Super-Category)","Pneumonitis, unspecified",concept-set,1
Chapter 12: Diseases of the respiratory system,Certain diseases of the respiratory system (Super-Category),concept-set,19
Certain diseases of the respiratory system (Super-Category),Other specified diseases of the respiratory system,concept-set,1
Chapter 12: Diseases of the respiratory system,Respiratory failure (Super-Category),concept-set,20
Respiratory failure (Super-Category),Chronic respiratory failure,concept-set,1
Chapter 13: Diseases of the digestive system,Disorders of lips (Super-Category),concept-set,1
Disorders of lips (Super-Category),Cheilitis,concept-set,1
Chapter 13: Diseases of the digestive system,Disorders of oral mucosa (Super-Category),concept-set,2
Disorders of oral mucosa (Super-Category),Oral aphthae or aphtha-like ulceration,concept-set,1
Chapter 13: Diseases of the digestive system,Disorders of oral mucosa (Super-Category),concept-set,3
Disorders of oral mucosa (Super-Category),Cellulitis or abscess of soft tissues of the mouth,concept-set,2
Chapter 13: Diseases of the digestive system,Diseases of hard tissues of teeth (Super-Category),concept-set,4
Diseases of hard tissues of teeth (Super-Category),Dental caries,concept-set,1
Chapter 13: Diseases of the digestive system,Diseases of pulp or periapical tissues (Super-Category),concept-set,5
Diseases of pulp or periapical tissues (Super-Category),Diseases of pulp or periapical tissues,concept-set,1
Chapter 13: Diseases of the digestive system,Gingival diseases (Super-Category),concept-set,6
Gingival diseases (Super-Category),Gingival diseases,concept-set,1
Chapter 13: Diseases of the digestive system,Periodontal disease (Super-Category),concept-set,7
Periodontal disease (Super-Category),Periodontal disease,concept-set,1
Chapter 13: Diseases of the digestive system,Periodontal disease (Super-Category),concept-set,8
Periodontal disease (Super-Category),Acute periodontitis,concept-set,2
Chapter 13: Diseases of the digestive system,Periodontal disease (Super-Category),concept-set,9
Periodontal disease (Super-Category),Noma,concept-set,3
Chapter 13: Diseases of the digestive system,Dentofacial anomalies (Super-Category),concept-set,10
Dentofacial anomalies (Super-Category),Temporomandibular joint disorders,concept-set,1
Chapter 13: Diseases of the digestive system,Gastro-oesophageal reflux disease (Super-Category),concept-set,11
Gastro-oesophageal reflux disease (Super-Category),Gastro-oesophageal reflux disease,concept-set,1
Chapter 13: Diseases of the digestive system,Oesophagitis (Super-Category),concept-set,12
Oesophagitis (Super-Category),Oesophagitis,concept-set,1
Chapter 13: Diseases of the digestive system,Gastritis (Super-Category),concept-set,13
Gastritis (Super-Category),Gastritis,concept-set,1
Chapter 13: Diseases of the digestive system,Gastritis (Super-Category),concept-set,14
Gastritis (Super-Category),Helicobacter pylori induced gastritis,concept-set,2
Chapter 13: Diseases of the digestive system,Gastritis (Super-Category),concept-set,15
Gastritis (Super-Category),Gastritis due to external causes,concept-set,3
Chapter 13: Diseases of the digestive system, (Super-Category),concept-set,16
 (Super-Category),Other specified gastritis,concept-set,1
Chapter 13: Diseases of the digestive system,Duodenitis (Super-Category),concept-set,17
Duodenitis (Super-Category),Duodenitis,concept-set,1
Chapter 13: Diseases of the digestive system,Gastric ulcer (Super-Category),concept-set,18
Gastric ulcer (Super-Category),Gastric ulcer,concept-set,1
Chapter 13: Diseases of the digestive system,Duodenal ulcer (Super-Category),concept-set,19
Duodenal ulcer (Super-Category),Duodenal ulcer,concept-set,1
Chapter 13: Diseases of the digestive system,Obstruction of small intestine (Super-Category),concept-set,20
Obstruction of small intestine (Super-Category),Obstruction of small intestine,concept-set,1
Chapter 13: Diseases of the digestive system,Appendicitis (Super-Category),concept-set,21
Appendicitis (Super-Category),Appendicitis,concept-set,1
Chapter 13: Diseases of the digestive system,Obstruction of large intestine (Super-Category),concept-set,22
Obstruction of large intestine (Super-Category),Obstruction of large intestine,concept-set,1
Chapter 13: Diseases of the digestive system,Other acquired anatomical alterations of large intestine (Super-Category),concept-set,23
Other acquired anatomical alterations of large intestine (Super-Category),Rectal prolapse,concept-set,1
Chapter 13: Diseases of the digestive system,Fissure or fistula of anal regions (Super-Category),concept-set,24
Fissure or fistula of anal regions (Super-Category),Anal fissure,concept-set,1
Chapter 13: Diseases of the digestive system,Fissure or fistula of anal regions (Super-Category),concept-set,25
Fissure or fistula of anal regions (Super-Category),Anal fistula,concept-set,2
Chapter 13: Diseases of the digestive system,Ulcer of anus (Super-Category),concept-set,26
Ulcer of anus (Super-Category),Ulcer of anus,concept-set,1
Chapter 13: Diseases of the digestive system,Haemorrhoids (Super-Category),concept-set,27
Haemorrhoids (Super-Category),Haemorrhoids,concept-set,1
Chapter 13: Diseases of the digestive system,Residual haemorrhoidal skin tags (Super-Category),concept-set,28
Residual haemorrhoidal skin tags (Super-Category),Residual haemorrhoidal skin tags,concept-set,1
Chapter 13: Diseases of the digestive system,Infections of the anal region (Super-Category),concept-set,29
Infections of the anal region (Super-Category),Anal abscess,concept-set,1
Chapter 13: Diseases of the digestive system,Hepatic fibrosis or cirrhosis (Super-Category),concept-set,30
Hepatic fibrosis or cirrhosis (Super-Category),Hepatic cirrhosis,concept-set,1
Chapter 13: Diseases of the digestive system,Vascular disorders of the liver (Super-Category),concept-set,31
Vascular disorders of the liver (Super-Category),Portal hypertension,concept-set,1
Chapter 13: Diseases of the digestive system,Certain specified diseases of liver (Super-Category),concept-set,32
Certain specified diseases of liver (Super-Category),Chronic liver disease,concept-set,1
Chapter 13: Diseases of the digestive system,Certain specified diseases of liver (Super-Category),concept-set,33
Certain specified diseases of liver (Super-Category),Hepatic encephalopathy,concept-set,2
Chapter 13: Diseases of the digestive system,Acquired anatomical alterations of gallbladder or bile ducts (Super-Category),concept-set,34
Acquired anatomical alterations of gallbladder or bile ducts (Super-Category),Obstruction of gallbladder or bile ducts,concept-set,1
Chapter 13: Diseases of the digestive system,Cholelithiasis (Super-Category),concept-set,35
Cholelithiasis (Super-Category),Cholelithiasis,concept-set,1
Chapter 13: Diseases of the digestive system,Acute pancreatitis (Super-Category),concept-set,36
Acute pancreatitis (Super-Category),Acute pancreatitis,concept-set,1
Chapter 13: Diseases of the digestive system,Chronic pancreatitis (Super-Category),concept-set,37
Chronic pancreatitis (Super-Category),Chronic pancreatitis,concept-set,1
Chapter 13: Diseases of the digestive system,Peritonitis (Super-Category),concept-set,38
Peritonitis (Super-Category),Peritonitis,concept-set,1
Chapter 13: Diseases of the digestive system,Non-abdominal wall hernia (Super-Category),concept-set,39
Non-abdominal wall hernia (Super-Category),Non-abdominal wall hernia,concept-set,1
Chapter 13: Diseases of the digestive system,Inguinal hernia (Super-Category),concept-set,40
Inguinal hernia (Super-Category),Inguinal hernia,concept-set,1
Chapter 13: Diseases of the digestive system,Femoral hernia (Super-Category),concept-set,41
Femoral hernia (Super-Category),Femoral hernia,concept-set,1
Chapter 13: Diseases of the digestive system,Incisional hernia (Super-Category),concept-set,42
Incisional hernia (Super-Category),Incisional hernia,concept-set,1
Chapter 13: Diseases of the digestive system,"Hernias, unspecified (Super-Category)",concept-set,43
"Hernias, unspecified (Super-Category)","Hernias, unspecified",concept-set,1
Chapter 13: Diseases of the digestive system,Irritable bowel syndrome or certain specified functional bowel disorders (Super-Category),concept-set,44
Irritable bowel syndrome or certain specified functional bowel disorders (Super-Category),Irritable bowel syndrome,concept-set,1
Chapter 13: Diseases of the digestive system,"Functional digestive disorders of infants, toddlers or children (Super-Category)",concept-set,45
"Functional digestive disorders of infants, toddlers or children (Super-Category)",Infantile colic,concept-set,1
Chapter 13: Diseases of the digestive system,Vomiting following gastrointestinal surgery (Super-Category),concept-set,46
Vomiting following gastrointestinal surgery (Super-Category),Vomiting following gastrointestinal surgery,concept-set,1
Chapter 14: Diseases of the skin,Pityriasis rosea (Super-Category),concept-set,1
Pityriasis rosea (Super-Category),Pityriasis rosea,concept-set,1
Chapter 14: Diseases of the skin,Certain skin disorders attributable to fungal infection (Super-Category),concept-set,2
Certain skin disorders attributable to fungal infection (Super-Category),Subcutaneous mycoses,concept-set,1
Chapter 14: Diseases of the skin,Atopic eczema (Super-Category),concept-set,3
Atopic eczema (Super-Category),Atopic eczema,concept-set,1
Chapter 14: Diseases of the skin,Atopic eczema (Super-Category),concept-set,4
Atopic eczema (Super-Category),Infantile atopic eczema,concept-set,2
Chapter 14: Diseases of the skin,Atopic eczema (Super-Category),concept-set,5
Atopic eczema (Super-Category),Childhood atopic eczema,concept-set,3
Chapter 14: Diseases of the skin,Atopic eczema (Super-Category),concept-set,6
Atopic eczema (Super-Category),Adult atopic eczema,concept-set,4
Chapter 14: Diseases of the skin,Seborrhoeic dermatitis and related conditions (Super-Category),concept-set,7
Seborrhoeic dermatitis and related conditions (Super-Category),"Seborrhoeic dermatitis, unspecified",concept-set,1
Chapter 14: Diseases of the skin,Nummular dermatitis (Super-Category),concept-set,8
Nummular dermatitis (Super-Category),Nummular dermatitis,concept-set,1
Chapter 14: Diseases of the skin,Lichen simplex or lichenification (Super-Category),concept-set,9
Lichen simplex or lichenification (Super-Category),Lichen simplex or lichenification,concept-set,1
Chapter 14: Diseases of the skin,Miscellaneous specified eczematous dermatoses (Super-Category),concept-set,10
