Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1,Member,Concept,Member Type
353ea47e-7418-46bd-a95e-4f25a2e5aedf,,,Blood Collecting  Bag CPDA1 Anticoagulant Single-1000ml,,Medical supply,N/A,,,3,Blood Collecting  Bag CPDA1 Anticoagulant Single-1000ml,Medical Supply Items,CONCEPT-SET
c156d9e0-6c6c-4095-9138-f7ef4b40c293,,,Mucus Extractor-Different Size,,Medical supply,N/A,,,3,Mucus Extractor-Different Size,Medical Supply Items,CONCEPT-SET
35653268-4042-4ae3-8247-c758d9270208,,,Bandage jersey tubular-15cm X 25m,,Medical supply,N/A,,,3,Bandage jersey tubular-15cm X 25m,Medical Supply Items,CONCEPT-SET
4a2e4c71-4ed9-4b1e-89d2-9b512987778d,,,Blood Collecting  Bag CPDA1 Anticoagulant Single-500ml,,Medical supply,N/A,,,3,Blood Collecting  Bag CPDA1 Anticoagulant Single-500ml,Medical Supply Items,CONCEPT-SET
a03d7ea5-639b-420d-afe4-505f022c111c,,,Glove Kichen-Different Size,,Medical supply,N/A,,,3,Glove Kichen-Different Size,Medical Supply Items,CONCEPT-SET
8a37086a-cce2-43f3-b331-9957665382a7,,,"Insulin Delivery Device-100units/ml, 3ml",,Medical supply,N/A,,,3,"Insulin Delivery Device-100units/ml, 3ml",Medical Supply Items,CONCEPT-SET
92e94a9b-3f10-4558-a396-a9fa7b5a6b2f,,,Respirator MSA 1/2 face 808074 of 41 pcs,,Medical supply,N/A,,,3,Respirator MSA 1/2 face 808074 of 41 pcs,Medical Supply Items,CONCEPT-SET
4a55d72e-366a-43d8-b81a-f2cadbb2a8b0,,,Coverall Enviroguard 8015V of 640pcs,,Medical supply,N/A,,,3,Coverall Enviroguard 8015V of 640pcs,Medical Supply Items,CONCEPT-SET
9b0457ab-1ed9-438d-96bc-fa1bb9bf1961,,,Respirator 3M P100 8233 of 240 pcs,,Medical supply,N/A,,,3,Respirator 3M P100 8233 of 240 pcs,Medical Supply Items,CONCEPT-SET
ce681b52-33f4-4fa7-9137-0e5f12788e06,,,Respirator Surgical mask of 300pcs,,Medical supply,N/A,,,3,Respirator Surgical mask of 300pcs,Medical Supply Items,CONCEPT-SET
