Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1
d1bb1ba2-c7f8-43cf-ac13-46ef76b9800e,,,Abdominal mass (examination finding),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
b4b0f338-2e37-4461-b76c-ea1f9b8b9141,,,Joint swelling (examination finding),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
7ae68060-9e8f-4500-bdb9-a407325f16da,,,Candidiasis (opportunistic infection),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
1cfad561-a4b2-42b1-8b5b-7402f3f81d5e,,,Desire for pregnancy after contraceptive removal,,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
212882ab-98a1-4017-8cf7-8dc2706b0e40,,,Bacterial pneumonia (opportunistic infection),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
3248528a-079b-46a3-85f8-0d28183727cb,,,Orphans and vulnerable children (OVC program),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
6e9e044e-e55e-44f5-8c4e-28a264cb9b77,,,Children of people living with HIV (program),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
773fd47a-0ace-4d88-9e11-a5808e1d82d4,,,Schizophrenia (psychiatric diagnosis),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
120148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Cardiac dysrhythmia (finding),,Form-referenced dependency concept (promoted from sandbox backfill),Finding,N/A,,,1,1
