Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1
6307d0c0-d323-4b43-bdbf-4d15cdcb32bf,,,DTP category,,Free-text category for pharmacy return reason,Question,Text,,,1,1
1ddc0970-f488-4461-89af-4d3592f0ab11,,,DTP reason,,Free-text reason for pharmacy return,Question,Text,,,1,2
768dc035-48f1-4a45-8087-12eee1fdbc14,,,DTP note,,Free-text note for pharmacy return,Question,Text,,,1,3
a438b7e7-4652-45ea-896b-b15775d476e6,,,DTP pharmacy return group,DTP pharmacy return,Repeatable observation group for pharmacy return reasons when pharmacist returns prescription to physician,Question,N/A,,6307d0c0-d323-4b43-bdbf-4d15cdcb32bf;1ddc0970-f488-4461-89af-4d3592f0ab11;768dc035-48f1-4a45-8087-12eee1fdbc14,1,4
