Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1000
f5466c4a-d448-4663-b5fe-e915fac5fae2,,,Mega unit,,One million units used as a dosing unit,Misc,N/A,,,1,1
0e214a04-db28-4c27-98aa-5d1f240199cb,,,Million International Units,MIU,Million International Units used as a dosing unit,Misc,N/A,,,1,1
579d26f8-6744-4d0b-9941-7b1686c5fa71,,,Cubic meter,,Cubic meter used as a dosing unit,Misc,N/A,,,1,1
f1933efa-16f0-4f2e-b7e4-d21a6a536a4d,,,Cycle,,Treatment cycle used as a dosing unit,Misc,N/A,,,1,1
162384AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Dosing unit,Dose unit,Dosing unit,ConvSet,N/A,,162366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162353AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;579d26f8-6744-4d0b-9941-7b1686c5fa71;f1933efa-16f0-4f2e-b7e4-d21a6a536a4d;dfe0c863-4c11-4a34-87da-cb3dc3481ab8;162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;161554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;3353e833-e165-4288-9267-5116addc007f;162401AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;f5466c4a-d448-4663-b5fe-e915fac5fae2;161553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;0e214a04-db28-4c27-98aa-5d1f240199cb;162263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;2a552417-1fbe-4567-9734-3df7522c4a76;162372AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;b7058062-a3e7-42d4-b57d-81fcdeee74c4;1518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1,1
