Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
61bca0a8-f7ee-4d07-8ee2-dfe62afb5921,,,"Blood Collection Tube K3 EDTA, 3ml",,Medical supply,N/A,,,DAGU Item:2267
1c8b60ca-3f76-46b6-9ab6-60f4680c862f,,,Cotton (Sanitary),,Medical supply,N/A,,,DAGU Item:2271
71f70988-f91a-4889-9521-c3f8bbff93c0,,,Tube Culture NS 12X75mm,,Medical supply,N/A,,,DAGU Item:2276
63f5ce78-2b43-459d-ba77-015ef291fb6f,,,Round Bottom 12 x 75 mm,,Medical supply,N/A,,,DAGU Item:2290
cd9ed42b-ba86-4b29-952b-8e6bb5d5cabd,,,Combitip Plus Sterile 25 ml,,Medical supply,N/A,,,DAGU Item:2293
6fcdb575-fa63-4344-93d1-637085203a6c,,,Combitip Plus Sterile 10 ml,,Medical supply,N/A,,,DAGU Item:2294
04b342ba-8867-4083-89c8-27f5a67b6413,,,"Disposable Syringe 2ml with needle, 22G",,Medical supply,N/A,,,DAGU Item:2295
9febdd09-eea8-4b60-b7d4-69e113adaf24,,,Disposable Syringe 5ml with needle,,Medical supply,N/A,,,DAGU Item:2311
aa33ed36-627c-4809-b122-be96a5b6954c,,,Adhesive Plaster Zinc Oxide Size 7.5cm X 10m,,Medical supply,N/A,,,DAGU Item:2403
50b299ba-c922-4405-a1c4-67db9b05a959,,,Adhesive Plaster Zinc Oxide Size 5cm X 10m,,Medical supply,N/A,,,DAGU Item:2408
800810fe-24f5-47ce-8c50-0a636d879207,,,Applicator Wooden Stick 15cm Long x diam. 2.5mm with Cotton,,Medical supply,N/A,,,DAGU Item:2423
a16a72a6-5f53-4107-a8fb-6fdb3dd7d120,,,Apron Plastic Protection Against Chemicals Resistant To Most Acids Adult Size,,Medical supply,N/A,,,DAGU Item:2427
ed270265-8d09-4bd5-9f45-5a58af40edb0,,,Cannula Intravenous Set (IV Cannula) 24G,,Medical supply,N/A,,,DAGU Item:2440
0b63a71d-bf71-469c-8fd5-f17084045aa3,,,Cannula Intravenous Set (IV Cannula) 22G,,Medical supply,N/A,,,DAGU Item:2444
88b2ab77-8fd8-4e13-8e50-08e21383d9c4,,,Cannula Intravenous Set (IV Cannula) 20G,,Medical supply,N/A,,,DAGU Item:2445
6d82cfa9-9122-40bc-b1b0-867116e6ccc0,,,Cannula Intravenous Set (IV Cannula) 18G,,Medical supply,N/A,,,DAGU Item:2447
2375c343-5a5f-40b1-8a58-6c269b37d0c5,,,"Disposable Syringe 3 parts , 10ml with 21G needle",,Medical supply,N/A,,,DAGU Item:2475
4a27ca4e-b18e-4c88-aaea-a257fc18371b,,,"Disposable Syringe 3 parts , 3ml with 21G needle",,Medical supply,N/A,,,DAGU Item:2476
d0d00521-a34b-4599-a761-93dad015264e,,,"Disposable Syringe 3 parts , 5ml with 20G needle",,Medical supply,N/A,,,DAGU Item:2477
