Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
0eb581d7-c9ea-4f73-ac54-8856064b3ae7,,,Hyoscine (Scopolamine) Sulphate,,Drug,Text,,,5
9f8f529a-95a9-4814-b0bf-5fbc1c35b390,,,Methyl Prednisolone Aceponate,,Drug,Text,,,5
01bde1d8-87ce-41df-815a-180f77bea93c,,,Pancuronium Bromide,,Drug,Text,,,5
5d2bcf33-1912-4547-b701-ae8efcd57710,,,Suxamethonium Chloride (Succinylcholine),,Drug,Text,,,5
84a2bc19-1dfd-4413-80c0-123788dfc51b,,,Ibuprofen,,Drug,Text,,,5
6964ed61-9623-41ef-9ad2-39c91f2588b5,,,Indomethacin,,Drug,Text,,,5
21e80ac2-7f3b-4fc4-853c-7cce7ff7a521,,,Colchicine,,Drug,Text,,,5
a3823c17-d1e4-4958-95a5-f026d8a66aa1,,,Amoxicillin,,Drug,Text,,,5
fec9de4f-df10-404a-8fda-1ca3d9b3d28d,,,Cloxacillin Sodium,,Drug,Text,,,5
fa60658c-dc74-4f37-a2f6-8b003d39adeb,,,"Penicillin G, Benzanthin",,Drug,Text,,,5
a3402209-ac1a-4f8d-92af-f9a7dba8b9a0,,,Amoxicillin + Clavulanic Acid,,Drug,Text,,,5
4cef52fb-e880-42ab-adb5-23732ea87074,,,Erythromycin,,Drug,Text,,,5
fff418b3-cc3a-42ed-997d-85d25545e71d,,,Clarithromycin,,Drug,Text,,,5
8ae97d85-a6ee-4ff1-a519-5a8959827b65,,,Ciprofloxacin,,Drug,Text,,,5
a22d850b-574d-43f9-8684-2569b9dba4fc,,,Norfloxacin,,Drug,Text,,,5
1cd4540a-54bb-44a0-b4ab-19691ced47ef,,,Doxycycline,,Drug,Text,,,5
0261236d-7656-4066-a73e-489a07f9af4d,,,Vancomycin,,Drug,Text,,,5
7239d7c9-68af-4210-9062-f7c594522050,,,Isoniazid,,Drug,Text,,,5
3d94f6dc-3df2-4248-a045-23fee0f003a8,,,Ethambutol,,Drug,Text,,,5
bb4057f9-d448-4ed5-be57-d4343ed2a28a,,,EH(Ethamutol + Isoniazid),,Drug,Text,,,5
81fec51b-d256-4b89-b877-0a682d75fd18,,,Streptomycin Sulphte,,Drug,Text,,,5
2692b690-b0bb-4d2d-b91d-78b38a1e1e84,,,Clofazimine,,Drug,Text,,,5
b99dd52d-341b-481a-b7f7-6bef96367f5b,,,Dapsone,,Drug,Text,,,5
1f47ad05-0737-4988-ad12-139dbe7740d1,,,Fluconazole,,Drug,Text,,,5
b6cf4b9d-8f16-4d0d-9dc7-d1631351bf3a,,,Griseofulvin,,Drug,Text,,,5
88f4ba21-5837-4a87-b56c-e1934f4d2ee0,,,Miconazole,,Drug,Text,,,5
6737c34e-3c8d-4f21-8a01-f47734dcb6e0,,,Amphotericin B,,Drug,Text,,,5
d67e8f81-e37b-43a6-9726-f2c33c355254,,,Acyclovir,,Drug,Text,,,5
d1ed64e2-fe72-484b-b4a7-f063f8df0ddb,,,Ganciclovir,,Drug,Text,,,5
6904d56d-dd1c-4a25-8012-6bb463b7cc8e,,,Chloroquine Phosphate,,Drug,Text,,,5
fda613a9-6d79-4acc-bf6b-e54b6ce36c09,,,Primaquine Phosphate,,Drug,Text,,,5
a37e623c-68b5-42c9-a168-0819ef6f80a0,,,Quinine Dihydrochloride,,Drug,Text,,,5
5a5a31d5-df38-43b5-bcde-7238d036d90b,,,Artemether,,Drug,Text,,,5
38c76638-9457-400e-bfad-434eace6341d,,,Metronidazole,,Drug,Text,,,5
228c04f6-f451-411c-93aa-553924b705b3,,,Tinidazole,,Drug,Text,,,5
90583f45-bbdf-421b-9112-b7afae237a93,,,Sodium Stibogluconate,,Drug,Text,,,5
9b87d6c6-6852-460e-8704-c4401ee94acc,,,Pentamidine Isethionate,,Drug,Text,,,5
fd02171e-013c-43f9-9aeb-eba8d66ed8c2,,,Suramin Sodium,,Drug,Text,,,5
f73509f0-5b86-4f97-9f1b-0a912b76083c,,,Pyrimethamine,,Drug,Text,,,5
5f9cdeb4-145f-4001-ad5f-89d14d7f5a07,,,Sulphadiazine,,Drug,Text,,,5
