Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
ac4d3e94-03f3-458a-9cb1-9c2ab3c3a3f7,,CIEL:169408;org.openmrs.module.emrapi:Admission Decision,Admission to hospital decision,Admission decision,Records the decision made for a pending hospital admission request,Question,Coded,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;77eafb3f-58d3-4397-a6dc-d2c06e9062f3;22dd4058-81bf-4cc8-aa3f-f5e18ef731cb;cc6a6126-b8a1-4d2d-9a35-31f9be7c5e68,,1,1
cc6a6126-b8a1-4d2d-9a35-31f9be7c5e68,,CIEL:169406;org.openmrs.module.emrapi:Deny Admission,Admission denied,Deny admission,Denies or cancels a pending hospital admission request,Finding,N/A,,,1,2
