Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
95feaeb5-4174-4b2d-a3c2-9e69a89549d1,,,"Disposable Syringe 2ml with needle, 22G",,Medical supply,N/A,,,2
3bb4d0b2-5b19-4db7-9374-a1ac7908e7b1,,,Disposable Syringe 5ml with needle,,Medical supply,N/A,,,2
a9a54489-5e1c-4991-9698-1850b9420c07,,,Adhesive Plaster Zinc Oxide Size 7.5cm X 10m,,Medical supply,N/A,,,2
1d2634c0-617d-430a-92ed-a9f3bf3ce676,,,Adhesive Plaster Zinc Oxide Size 5cm X 10m,,Medical supply,N/A,,,2
25126508-4552-4366-bb38-bc8f3841efdb,,,Applicator Wooden Stick 15cm Long x diam. 2.5mm with Cotton,,Medical supply,N/A,,,2
510bb373-82ae-4924-8fbe-950c0aa12db1,,,Apron Plastic Protection Against Chemicals Resistant To Most Acids Adult Size,,Medical supply,N/A,,,2
cba64c5b-6473-4e4b-8e40-c1b5a6e6b40e,,,Cannula Intravenous Set (IV Cannula) 24G,,Medical supply,N/A,,,2
6563551b-edff-49c1-bdec-7f5aea92a808,,,Cannula Intravenous Set (IV Cannula) 22G,,Medical supply,N/A,,,2
504f23a5-f1fb-425a-962d-bf605e19afb1,,,Cannula Intravenous Set (IV Cannula) 20G,,Medical supply,N/A,,,2
6c39ce2e-b28b-46fc-86f8-ea45d054814c,,,Cannula Intravenous Set (IV Cannula) 18G,,Medical supply,N/A,,,2
559aaca2-0546-457a-a284-7db5f594f7a3,,,"Disposable Syringe 3 parts , 10ml with 21G needle",,Medical supply,N/A,,,2
3f26e88e-58cf-4625-aa6f-adb27772e7bb,,,"Disposable Syringe 3 parts , 3ml with 21G needle",,Medical supply,N/A,,,2
cdd3dc43-53a7-4ed0-b3eb-5853fcaee8fd,,,"Disposable Syringe 3 parts , 5ml with 20G needle",,Medical supply,N/A,,,2
17e86e25-f319-4b4b-ba9a-9576615405f3,,,"Disposable Syringe 3 parts , 5ml with 21G needle",,Medical supply,N/A,,,2
22c1c822-1da7-4c0d-9ce6-ea931b57200f,,,Tongue Depressor wooden,,Medical supply,N/A,,,2
472a416b-62fb-4352-9e49-cdc32d3b15ad,,,Torniquate of double belt,,Medical supply,N/A,,,2
2d9a67bf-6f98-41c8-ae34-abdcf2c6b63b,,,Triangular Bandage size 96*96*136cm,,Medical supply,N/A,,,2
5194f1d1-d6ba-4a0a-bf22-b5037656c886,,,Centrifuge Tube Glass Graduated 15ml,,Medical supply,N/A,,,2
d4a68a06-9f19-48bf-a6b9-7dbce364119c,,,Examination Glove latex non sterile Large,,Medical supply,N/A,,,2
a01f7aa9-12be-48e1-be2f-3e059fc94c74,,,Gauze Bandage 10cm x 5m,,Medical supply,N/A,,,2
51f1538e-195c-4646-83d6-ffae7532d978,,,Ear Syringe 100ml metal complete in set stainless steel,,Medical supply,N/A,,,2
f0ab999f-b4fd-4d7b-9a17-602e15ee91df,,,Gauze Bandage B/P Mesh 28 x 24 size 7.5cm x 5m,,Medical supply,N/A,,,2
e37183b0-0f80-46e8-badd-dc1e1eb69611,,,Gauze Bandage B/P Mesh 28 x 24 size 12.5cm x 5m,,Medical supply,N/A,,,2
e861ecc7-31d0-459a-ac3c-a833ba0cfa4d,,,Gauze Surgical 90cm x 100m,,Medical supply,N/A,,,2
