Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Units,Allow decimals,Display precision,_version:1,_order:1000,Answers
0afe4338-67ef-58a0-95ec-7daeeace938d,,,Angiography,,Angiography,,Angiography imaging category,,ConvSet,N/A,,,,,,,,,,1,1,
26d4944d-68ee-5833-b39a-6010ea1a2ff8,,,CT Scan,,CT Scan,,Computed tomography imaging category,,ConvSet,N/A,,,,,,,,,,1,2,
e7da98ca-e1a9-529e-97ab-398749c3d97e,,,Echo,,Echo,,Echocardiography and ultrasound echo imaging category,,ConvSet,N/A,,,,,,,,,,1,3,
b64b35ad-f9b8-5c8d-a06c-57c637a30ef0,,,Magnetic Resonance Imaging,,MRI,,Magnetic resonance imaging category,,ConvSet,N/A,,,,,,,,,,1,4,
48f0e1e2-e4cb-5d72-8fcf-45c3162f1343,,,Nuclear medicine,,Nuclear Med,,Nuclear medicine imaging category,,ConvSet,N/A,,,,,,,,,,1,5,
a4dbed0a-43f2-5f59-86ee-87143fc59e73,,,Other Radiology Orders,,Other Radiology,,Miscellaneous radiology orders not covered by specific categories,,ConvSet,N/A,,,,,,,,,,1,6,
72617c4e-5575-57e9-a281-608d90babc55,,,Ultrasound,,Ultrasound,,Ultrasound imaging category,,ConvSet,N/A,,,,,,,,,,1,7,
