Uuid,Void/Retire,Concept source,Url,_order:1000
2b3c1ff8-768a-102f-83f4-12313b04a615,,CIEL,https://cielterminology.org,,
249b13c8-72fa-4b96-8d3d-b200efed985e,,LOINC,http://loinc.org,,
89532052-e89d-4a73-a760-5d6a6a9ce348,,SNOMED CT,http://snomed.info/sct/,,
a7099e7e-a77f-48e6-9fad-aa441bd2df23,,HL7-MedicationDispenseStatus,http://terminology.hl7.org/CodeSystem/medicationdispense-status,
dceac564-417d-40d0-a457-078b3f1fec5a,,ANCDAK,http://fhir.org/guides/who/anc-cds/CodeSystem/anc-custom-codes,,
d5f2a7c3-1b8e-4a6f-9c0d-3e5b7a9f1c24,,DAGU Item,https://dagu.moh.gov.et/CodeSystem/dagu-item,
